encode,Keller_TM0066_Droso_HisGFP,zcurve_reorder(tile_size=4)->bitswap1->lz4,1.48,2.94,0.85,0,8,1493908650
encode,Keller_TM0066_Droso_HisGFP,quantiser->hevc,4.58,20.30,1.40,0,8,1493908650
decode,Keller_TM0066_Droso_HisGFP,lz4,5.17,0.49,1.33,0,8,1493908680
decode,Keller_TM0066_Droso_HisGFP,quantiser->lz4,4.04,0.49,1.45,0,8,1493908690
decode,Keller_TM0066_Droso_HisGFP,quantiser->h264,4.48,1.91,1.24,0,8,1493908701
decode,Keller_TM0066_Droso_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,4.77,3.13,1.24,0,8,1493908701
decode,Keller_TM0066_Droso_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,4.91,4.21,1.29,0,8,1493908700
decode,Keller_TM0066_Droso_HisGFP,frame_shuffle->bitswap1->lz4,4.86,2.42,1.14,0,8,1493908701
decode,Keller_TM0066_Droso_HisGFP,zcurve_reorder(tile_size=16)->bitswap1->lz4,4.99,4.31,1.22,0,8,1493908701
decode,Keller_TM0066_Droso_HisGFP,raster_reorder(tile_size=16)->bitswap1->lz4,5.18,3.17,1.19,0,8,1493908701
decode,Keller_TM0066_Droso_HisGFP,bitswap1->lz4,8.72,2.39,1.17,0,8,1493908701
decode,Keller_TM0066_Droso_HisGFP,quantiser->hevc,9.25,5.46,1.38,0,8,1493908702
decode,Keller_TM0066_Droso_HisGFP,rmestbkrd->bitswap1->lz4,5.29,2.44,1.14,0,8,1493908718
encode,Keller_TM0829_Droso_PanNeural,quantiser->h264,1.39,1.40,0.81,0,8,1493908654
encode,Keller_TM0829_Droso_PanNeural,zcurve_reorder(tile_size=16)->bitswap1->lz4,1.20,2.44,0.66,0,8,1493908654
encode,Keller_TM0829_Droso_PanNeural,frame_shuffle->bitswap1->lz4,1.39,2.88,0.69,0,8,1493908654
encode,Keller_TM0829_Droso_PanNeural,quantiser->lz4,2.83,0.37,0.60,0,8,1493908656
encode,Keller_TM0829_Droso_PanNeural,lz4,1.10,0.47,0.57,0,8,1493908663
encode,Keller_TM0829_Droso_PanNeural,raster_reorder(tile_size=4)->bitswap1->lz4,1.19,0.90,0.62,0,8,1493908663
